X,Y,CT,eTh,eU,GT,Kperc,SIGLA_UNID,SRTM
440000,9226250,3.46,5.58,2.05,0.0740083,0.34,A3xi,209.19
440250,9226250,3.58,5.69,1.81,0.0601088,0.51,A3xi,220.37
440500,9226250,3.67,5.56,1.85,0.0523319,0.58,A3xi,219.6
440750,9226250,3.8,5.57,2.24,0.0730083,0.49,A3xi,215.43
441000,9226250,3.73,5.4,2.27,0.0974383,0.46,A3xi,213.3
441250,9226250,3.44,4.86,1.97,0.0817469,0.5,A3xi,214.25
441500,9226250,3.87,5.04,2.21,0.0414533,0.65,A3xi,213.94
441750,9226250,5.18,6.19,3.28,0.0919388,0.84,A3xi,215.39
442000,9226250,5.12,6.19,3.48,0.2151001,0.7,A3xi,214.13
442250,9226250,3.24,4.5,2.51,0.3305239,0.2,A3xi,219.29
442500,9226250,1.89,2.91,1.65,0.3612748,0.1,A3xi,217.36
442750,9226250,1.55,1.9,1.28,0.2916905,0.11,A3xi,220.66
443000,9226250,1.99,2.55,1.4,0.2365396,0.23,A3xi,216.31
443250,9226250,3.5,5.81,1.93,0.0952571,0.38,A3xi,215.87
443500,9226250,4.42,7.29,2.52,0.0740205,0.45,A3xi,222.86
443750,9226250,4.46,6.69,2.81,0.04682,0.47,A3xi,218.28
444000,9226250,4.38,6.75,2.67,0.031706,0.46,A3xi,220.58
444250,9226250,4.33,7.73,2.22,0.0779566,0.44,A3xi,217.91
444500,9226250,3.92,7.17,2.07,0.0995467,0.34,A3xi,220.92
444750,9226250,3.15,5.03,2.22,0.0425136,0.17,A3xi,219.88
445000,9226250,2.76,4.27,2.13,0.0596886,0.1,A3_gamma_rm,220.68
445250,9226250,2.87,4.96,1.88,0.0477557,0.15,A3_gamma_rm,224.24
445500,9226250,2.99,5.07,1.98,0.0236278,0.16,A3_gamma_rm,209.35
445750,9226250,2.73,4.02,2.19,0.0223952,0.1,A3_gamma_rm,210.79
446000,9226250,2.38,3.5,1.9,0.0286987,0.1,A3_gamma_rm,210.26
446250,9226250,2,3.64,1.1,0.0300451,0.16,A3_gamma_rm,210.56
446500,9226250,1.82,3.65,0.7,0.0265798,0.21,A3_gamma_rm,215.58
446750,9226250,2.11,3.69,1,0.0549239,0.26,A3_gamma_rm,217.43
447000,9226250,2.59,3.81,1.49,0.0634915,0.36,A3_gamma_rm,214.9
447250,9226250,3.22,4.04,2.05,0.0421811,0.49,A3_gamma_rm,214.92
447500,9226250,4.13,4.8,2.74,0.0561371,0.64,A3_gamma_rm,217.07
447750,9226250,5.87,7.46,3.63,0.053177,0.9,A3_gamma_rm,216.76
448000,9226250,6.2,8.12,3.95,0.0313423,0.85,A3_gamma_rm,218.01
448250,9226250,5.27,6.85,3.79,0.0133081,0.55,A3_gamma_rm,221.3
448500,9226250,4.9,7.02,3.43,0.0156966,0.43,A3_gamma_rm,217.64
448750,9226250,5,8.38,2.72,0.029378,0.55,A3_gamma_rm,209.13
449000,9226250,4.78,8.31,2.37,0.0584253,0.56,A3_gamma_rm,214.39
449250,9226250,4.01,6.49,2.31,0.0859951,0.42,A3_gamma_rm,211.12
449500,9226250,3.46,5.47,2.31,0.1524029,0.26,A3_gamma_rm,212.68
449750,9226250,3.14,5.26,2.34,0.1940879,0.1,A3_gamma_rm,210.58
450000,9226250,2.93,4.97,2.11,0.1683072,0.1,A3_gamma_rm,214.72
450250,9226250,2.98,4.82,1.7,0.1225858,0.33,A3_gamma_rm,215.51
450500,9226250,3.16,4.93,1.66,0.0868621,0.44,A3_gamma_rm,211.31
450750,9226250,3.57,5.4,2.16,0.0634877,0.41,A3_gamma_rm,209.58
451000,9226250,4.25,6.12,2.85,0.0421554,0.42,A3_gamma_rm,214.25
451250,9226250,4.77,6.25,3.43,0.0340604,0.49,A3_gamma_rm,219.42
451500,9226250,4.33,5.68,3.07,0.0387537,0.46,A3_gamma_rm,217.23
451750,9226250,3.15,4.69,1.86,0.058256,0.4,A3_gamma_rm,216.73
452000,9226250,2.62,3.85,1.36,0.0559472,0.42,A3_gamma_rm,213.96
452250,9226250,3,3.76,1.83,0.0251114,0.48,A3_gamma_rm,215.89
452500,9226250,3.28,3.92,2.18,0.0139335,0.48,A3_gamma_rm,222.06
452750,9226250,3.39,4.47,2.29,0.0363224,0.41,A3_gamma_rm,224.72
453000,9226250,3.91,5.92,2.51,0.0614591,0.38,A3_gamma_rm,228.03
453250,9226250,4.72,8.01,2.81,0.0729231,0.39,A3_gamma_rm,231.44
453500,9226250,5.17,8.71,2.82,0.0630125,0.55,A3_gamma_rm,228.76
453750,9226250,5.4,8.19,2.63,0.0446332,0.89,A3_gamma_rm,233.12
454000,9226250,5.15,7.07,2.64,0.0624197,0.93,A3_gamma_rm,233.54
